date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2015-12-27,Livestock / Poultry,Live pig,3825,(head),Mainland,Food and Environmental Hygiene Department
2015-12-27,Livestock / Poultry,Live pig,248,(head),Local,Food and Environmental Hygiene Department
2015-12-27,Livestock / Poultry,Live cattle,22,(head),Mainland,Food and Environmental Hygiene Department
2015-12-27,Livestock / Poultry,Live chicken,7300,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-27,Marine fish,NA,1672,(picul),NA,Fish Marketing Organization
2015-12-27,Freshwater fish,NA,3110,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-27,Vegetables,NA,5062,(picul),NA,Vegetable Marketing Organization
2015-12-27,Vegetables,NA,8382,(picul),NA,Government Wholesale Markets
2015-12-27,Eggs,NA,16e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2015-12-28,Livestock / Poultry,Live pig,4269,(head),Mainland,Food and Environmental Hygiene Department
2015-12-28,Livestock / Poultry,Live pig,210,(head),Local,Food and Environmental Hygiene Department
2015-12-28,Livestock / Poultry,Live cattle,66,(head),Mainland,Food and Environmental Hygiene Department
2015-12-28,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-28,Livestock / Poultry,Live chicken,7e3,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-28,Marine fish,NA,1639,(picul),NA,Fish Marketing Organization
2015-12-28,Freshwater fish,NA,3136,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-28,Vegetables,NA,5682,(picul),NA,Vegetable Marketing Organization
2015-12-28,Vegetables,NA,11253,(picul),NA,Government Wholesale Markets
2015-12-28,Eggs,NA,38e5,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2015-12-30,Livestock / Poultry,Live pig,4160,(head),Mainland,Food and Environmental Hygiene Department
2015-12-30,Livestock / Poultry,Live pig,182,(head),Local,Food and Environmental Hygiene Department
2015-12-30,Livestock / Poultry,Live cattle,63,(head),Mainland,Food and Environmental Hygiene Department
2015-12-30,Livestock / Poultry,Live chicken,9670,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-30,Marine fish,NA,1417,(picul),NA,Fish Marketing Organization
2015-12-30,Freshwater fish,NA,3075,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-30,Vegetables,NA,5545,(picul),NA,Vegetable Marketing Organization
2015-12-30,Vegetables,NA,10560,(picul),NA,Government Wholesale Markets
2015-12-30,Eggs,NA,574e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2015-12-31,Livestock / Poultry,Live pig,3409,(head),Mainland,Food and Environmental Hygiene Department
2015-12-31,Livestock / Poultry,Live pig,174,(head),Local,Food and Environmental Hygiene Department
2015-12-31,Livestock / Poultry,Live cattle,63,(head),Mainland,Food and Environmental Hygiene Department
2015-12-31,Livestock / Poultry,Live chicken,11901,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-31,Freshwater fish,NA,2866,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-31,Vegetables,NA,5418,(picul),NA,Vegetable Marketing Organization
2015-12-31,Vegetables,NA,10890,(picul),NA,Government Wholesale Markets
2015-12-31,Eggs,NA,355e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-01,Livestock / Poultry,Live pig,2740,(head),Mainland,Food and Environmental Hygiene Department
2016-01-01,Livestock / Poultry,Live pig,186,(head),Local,Food and Environmental Hygiene Department
2016-01-01,Livestock / Poultry,Live cattle,13,(head),Mainland,Food and Environmental Hygiene Department
2016-01-01,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-01,Livestock / Poultry,Live chicken,12240,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-01,Marine fish,NA,2275,(picul),NA,Fish Marketing Organization
2016-01-01,Freshwater fish,NA,2814,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-01,Vegetables,NA,4977,(picul),NA,Vegetable Marketing Organization
2016-01-01,Vegetables,NA,11204,(picul),NA,Government Wholesale Markets
2016-01-02,Livestock / Poultry,Live pig,3205,(head),Mainland,Food and Environmental Hygiene Department
2016-01-02,Livestock / Poultry,Live pig,241,(head),Local,Food and Environmental Hygiene Department
2016-01-02,Livestock / Poultry,Live cattle,52,(head),Mainland,Food and Environmental Hygiene Department
2016-01-02,Livestock / Poultry,Live chicken,10970,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-02,Marine fish,NA,1374,(picul),NA,Fish Marketing Organization
2016-01-02,Freshwater fish,NA,2983,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-02,Vegetables,NA,5221,(picul),NA,Vegetable Marketing Organization
2016-01-02,Vegetables,NA,10181,(picul),NA,Government Wholesale Markets
2016-01-02,Eggs,NA,474e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-03,Livestock / Poultry,Live pig,4651,(head),Mainland,Food and Environmental Hygiene Department
2016-01-03,Livestock / Poultry,Live pig,333,(head),Local,Food and Environmental Hygiene Department
2016-01-03,Livestock / Poultry,Live cattle,37,(head),Mainland,Food and Environmental Hygiene Department
2016-01-03,Livestock / Poultry,Live chicken,9450,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-03,Marine fish,NA,1725,(picul),NA,Fish Marketing Organization
2016-01-03,Freshwater fish,NA,2669,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
