date_morning,food_category,food_item,price_morning,unit,food_origin,provided_by
2015-12-27,Livestock / Poultry,Live pig,1332,($ / Picul),NA,Slaughterhouses
2015-12-27,Livestock / Poultry,Live cattle,4150,($ / Picul),NA,Ng Fung Hong
2015-12-27,Livestock / Poultry,Live chicken,41.6,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-27,Marine fish,Golden thread,54,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Horse head,38,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Yellow croaker,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Big eyes,52,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Scads,16,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Breams,55,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Hairtail,36,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Mackerel,48,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Croakers,16,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Marine fish,Filefish,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2015-12-27,Freshwater fish,Grass carp,17.2,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-27,Freshwater fish,Big head,16.8,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-27,Freshwater fish,Mud carp,18.3,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-27,Vegetables,Flowering Cabbage,4.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-27,Vegetables,White Cabbage,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-27,Vegetables,Chinese Lettuce,4.7,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-27,Vegetables,Chrysanthemum Garland,8.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-27,Vegetables,Chinese Kale,5.5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-27,Vegetables,European Celery,7.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
