date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2015-12-27,Livestock / Poultry,Live pig,3825,(head),Mainland,Food and Environmental Hygiene Department
2015-12-27,Livestock / Poultry,Live pig,248,(head),Local,Food and Environmental Hygiene Department
2015-12-27,Livestock / Poultry,Live cattle,22,(head),Mainland,Food and Environmental Hygiene Department
2015-12-27,Livestock / Poultry,Live chicken,7300,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-27,Marine fish,-,1672,(picul),-,Fish Marketing Organization
2015-12-27,Freshwater fish,-,3110,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-27,Vegetables,-,5062,(picul),-,Vegetable Marketing Organization
2015-12-27,Vegetables,-,8382,(picul),-,Government Wholesale Markets
2015-12-27,Eggs,-,16e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2015-12-28,Livestock / Poultry,Live pig,4269,(head),Mainland,Food and Environmental Hygiene Department
2015-12-28,Livestock / Poultry,Live pig,210,(head),Local,Food and Environmental Hygiene Department
2015-12-28,Livestock / Poultry,Live cattle,66,(head),Mainland,Food and Environmental Hygiene Department
2015-12-28,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-28,Livestock / Poultry,Live chicken,7e3,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-28,Marine fish,-,1639,(picul),-,Fish Marketing Organization
2015-12-28,Freshwater fish,-,3136,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-28,Vegetables,-,5682,(picul),-,Vegetable Marketing Organization
2015-12-28,Vegetables,-,11253,(picul),-,Government Wholesale Markets
2015-12-28,Eggs,-,38e5,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2015-12-30,Livestock / Poultry,Live pig,4160,(head),Mainland,Food and Environmental Hygiene Department
2015-12-30,Livestock / Poultry,Live pig,182,(head),Local,Food and Environmental Hygiene Department
2015-12-30,Livestock / Poultry,Live cattle,63,(head),Mainland,Food and Environmental Hygiene Department
2015-12-30,Livestock / Poultry,Live chicken,9670,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-30,Marine fish,-,1417,(picul),-,Fish Marketing Organization
2015-12-30,Freshwater fish,-,3075,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-30,Vegetables,-,5545,(picul),-,Vegetable Marketing Organization
2015-12-30,Vegetables,-,10560,(picul),-,Government Wholesale Markets
2015-12-30,Eggs,-,574e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2015-12-31,Livestock / Poultry,Live pig,3409,(head),Mainland,Food and Environmental Hygiene Department
2015-12-31,Livestock / Poultry,Live pig,174,(head),Local,Food and Environmental Hygiene Department
2015-12-31,Livestock / Poultry,Live cattle,63,(head),Mainland,Food and Environmental Hygiene Department
2015-12-31,Livestock / Poultry,Live chicken,11901,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-31,Freshwater fish,-,2866,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2015-12-31,Vegetables,-,5418,(picul),-,Vegetable Marketing Organization
2015-12-31,Vegetables,-,10890,(picul),-,Government Wholesale Markets
2015-12-31,Eggs,-,355e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-01,Livestock / Poultry,Live pig,2740,(head),Mainland,Food and Environmental Hygiene Department
2016-01-01,Livestock / Poultry,Live pig,186,(head),Local,Food and Environmental Hygiene Department
2016-01-01,Livestock / Poultry,Live cattle,13,(head),Mainland,Food and Environmental Hygiene Department
2016-01-01,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-01,Livestock / Poultry,Live chicken,12240,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-01,Marine fish,-,2275,(picul),-,Fish Marketing Organization
2016-01-01,Freshwater fish,-,2814,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-01,Vegetables,-,4977,(picul),-,Vegetable Marketing Organization
2016-01-01,Vegetables,-,11204,(picul),-,Government Wholesale Markets
2016-01-02,Livestock / Poultry,Live pig,3205,(head),Mainland,Food and Environmental Hygiene Department
2016-01-02,Livestock / Poultry,Live pig,241,(head),Local,Food and Environmental Hygiene Department
2016-01-02,Livestock / Poultry,Live cattle,52,(head),Mainland,Food and Environmental Hygiene Department
2016-01-02,Livestock / Poultry,Live chicken,10970,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-02,Marine fish,-,1374,(picul),-,Fish Marketing Organization
2016-01-02,Freshwater fish,-,2983,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-02,Vegetables,-,5221,(picul),-,Vegetable Marketing Organization
2016-01-02,Vegetables,-,10181,(picul),-,Government Wholesale Markets
2016-01-02,Eggs,-,474e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-03,Livestock / Poultry,Live pig,4651,(head),Mainland,Food and Environmental Hygiene Department
2016-01-03,Livestock / Poultry,Live pig,333,(head),Local,Food and Environmental Hygiene Department
2016-01-03,Livestock / Poultry,Live cattle,37,(head),Mainland,Food and Environmental Hygiene Department
2016-01-03,Livestock / Poultry,Live chicken,9450,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-03,Marine fish,-,1725,(picul),-,Fish Marketing Organization
2016-01-03,Freshwater fish,-,2669,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-03,Vegetables,-,5234,(picul),-,Vegetable Marketing Organization
2016-01-03,Vegetables,-,9059,(picul),-,Government Wholesale Markets
