food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Livestock / Poultry,Live pig,3825,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,28/12/2015,NA
Livestock / Poultry,Live pig,248,(head),(Yesterday),Local,Food and Environmental Hygiene Department,28/12/2015,NA
Livestock / Poultry,Live cattle,22,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,28/12/2015,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,28/12/2015,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,28/12/2015,NA
Livestock / Poultry,Live chicken,7300,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,28/12/2015,NA
Marine fish,-,1672,(picul),(Yesterday),-,Fish Marketing Organization,28/12/2015,NA
Freshwater fish,-,3110,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,28/12/2015,NA
Vegetables,-,5062,(picul),(Yesterday),-,Vegetable Marketing Organization,28/12/2015,NA
Vegetables,-,8382,(picul),(Yesterday),-,Government Wholesale Markets,28/12/2015,NA
Eggs,-,160000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,28/12/2015,NA
Livestock / Poultry,Live pig,4269,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,29/12/2015,NA
Livestock / Poultry,Live pig,210,(head),(Yesterday),Local,Food and Environmental Hygiene Department,29/12/2015,NA
Livestock / Poultry,Live cattle,66,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,29/12/2015,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,29/12/2015,NA
Livestock / Poultry,Live chicken,2000,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,29/12/2015,NA
Livestock / Poultry,Live chicken,7000,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,29/12/2015,NA
Marine fish,-,1639,(picul),(Yesterday),-,Fish Marketing Organization,29/12/2015,NA
Freshwater fish,-,3136,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,29/12/2015,NA
Vegetables,-,5682,(picul),(Yesterday),-,Vegetable Marketing Organization,29/12/2015,NA
Vegetables,-,11253,(picul),(Yesterday),-,Government Wholesale Markets,29/12/2015,NA
Eggs,-,3800000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,29/12/2015,NA
Livestock / Poultry,Live pig,NA,($ / Picul),(Yesterday),-,Slaughterhouses,30/12/2015,1318.0
Livestock / Poultry,Live cattle,NA,($ / Picul),(Yesterday),-,Ng Fung Hong,30/12/2015,4241.0
Livestock / Poultry,Live chicken,NA,($ / Catty),(Yesterday),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,30/12/2015,-
Livestock / Poultry,Live chicken,NA,($ / Catty),(Yesterday),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,30/12/2015,41.5
Marine fish,Golden thread,NA,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,30/12/2015,53.0
Marine fish,Horse head,NA,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,30/12/2015,37.0
Marine fish,Yellow croaker,NA,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,30/12/2015,31.0
