food_category,food_item,price_morning,unit,data_from,food_origin,supplier,date_reported,supply_intake
Livestock / Poultry,Live pig,1332.0,($ / Picul),(Yesterday),-,Slaughterhouses,28/12/2015,NA
Livestock / Poultry,Live cattle,4150.0,($ / Picul),(Yesterday),-,Ng Fung Hong,28/12/2015,NA
Livestock / Poultry,Live chicken,-,($ / Catty),(Yesterday),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,28/12/2015,NA
Livestock / Poultry,Live chicken,41.6,($ / Catty),(Yesterday),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,28/12/2015,NA
Marine fish,Golden thread,54.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Horse head,38.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Yellow croaker,31.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Big eyes,52.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Scads,16.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Breams,55.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Hairtail,36.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Mackerel,48.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Croakers,16.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Marine fish,Filefish,31.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,28/12/2015,NA
Freshwater fish,Grass carp,17.2,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,28/12/2015,NA
Freshwater fish,Big head,16.8,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,28/12/2015,NA
Freshwater fish,Mud carp,18.3,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,28/12/2015,NA
Vegetables,Flowering Cabbage,4.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,White Cabbage,5.0,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Chinese Lettuce,4.7,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Chrysanthemum Garland,8.8,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Chinese Kale,5.5,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,European Celery,7.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Potato,3.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Spinach,7.1,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Water Cress,6.7,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Broccoli,8.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
Vegetables,Green Cabbage,6.5,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,28/12/2015,NA
